record_id,report_date,system_id,feeder_id,feeder_name,is_system_wide,saidi,saifi,caidi,maifi,customer_count,total_interruptions,total_momentary_interruptions,notes
R001,2023-03-15,SYS-MIDLAND-01,,,true,78.2,1.25,62.6,1.1,32850,132,19,"Annual reliability report; Midland utility serving urban and suburban loads, typical performance year."
R002,2024-01-29,SYS-CENTRAL-02,CENTRAL-023,Central Park West,false,45.7,1.86,24.6,8.2,2210,34,47,Frequent momentary interruptions due to windstorms in early 2024; urban feeder serving mixed residential.
R003,2022-05-17,SYS-HARBOR-03,,,true,64.1,1.09,58.7,0.6,48150,97,28,"System-wide report for Harbor region; infrastructure upgrades completed, reliability improved."
R004,2020-09-13,SYS-NORTH-04,,,true,0,0,0,0,0,0,0,"Boundary test case: zero customers, zero interruptions, system was offline for maintenance period."
R005,2023-07-05,SYS-EAST-05,EAST-101,Eastside Commercial,false,68.9,2.1,32.8,0.9,3100,44,8,"Feeder-level report; construction activity led to increased interruptions, mostly commercial customers."
R006,2022-12-09,SYS-GLEN-06,GLEN-007,Glenwood Estates,false,94.2,1.74,54.1,2.3,1675,29,10,"Aging infrastructure in Glenwood Estates, moderate number of sustained and momentary interruptions."
R007,2024-02-16,SYS-VALLEY-07,VALLEY-056,Valley View,false,22.9,0.93,24.6,8.4,3650,13,41,High momentary interruption rate due to ice storms; Valley View feeder serving dense residential area.
R008,2021-08-22,SYS-LAKE-08,,,true,25.3,0.74,34.2,1.2,17440,25,6,"Lake region annual reliability report; performance stable, minor interruptions due to line faults."
R009,2023-10-01,SYS-RIVER-09,RIVER-022,River Bend Rural,false,133.8,1.25,107,2.9,950,21,5,"Rural feeder with elevated CAIDI; multiple outages from summer storms, long restoration times."
R010,2020-11-17,SYS-PINE-10,PINE-390,Pine Grove,false,76.5,1.32,57.9,,1350,17,7,"Pine Grove feeder, momentary interruptions data incomplete, mostly residential and small commercial."
R011,2023-06-11,SYS-COAST-11,,,true,11250.4,791.6,9999,10.5,91700,900,75,Extreme weather event hit entire Coast system; record outage duration and frequency in June 2023.
R012,2022-04-27,SYS-HILL-12,HILL-078,Hilltop Rural,false,302.8,1.56,125.9,,1550,39,9,Rural feeder with long restoration times; vegetation and terrain challenges increased CAIDI.
R013,2021-02-13,SYS-METRO-13,,,true,18.7,0.62,30.1,0.3,20400,18,2,Metro system annual summary; lowest interruption rates among all regional systems.
R014,2023-09-19,SYS-FOREST-14,,,true,41.2,1.11,37.2,0.8,42150,82,12,"System-wide report for Forest region; moderate interruptions, no major events reported."
R015,2022-07-23,SYS-ROCK-15,ROCK-045,Rockville Main,false,101.6,2.62,38.8,0.7,4200,43,6,"Rockville feeder affected by construction, elevated interruption frequency during summer 2022."
R016,2023-05-22,SYS-SOUTH-16,,,true,95.4,1.76,54.2,0.9,36400,158,35,South system annual metrics; higher interruptions due to spring thunderstorms.
R017,2021-12-25,SYS-PARK-17,PARK-137,Parkside North,false,0,0,0,,0,0,0,"Boundary case: new feeder, no customers, no events as of end of 2021."
R018,2023-11-04,SYS-BRIDGE-18,,,true,87.3,1.31,66.7,1.3,50900,120,23,Bridge region system-wide metrics; improved reliability after substation upgrades.
R019,2022-03-08,SYS-PLAIN-19,PLAIN-091,Plains Rural South,false,289.5,1.02,110.1,3.1,700,36,7,"Rural feeder report; severe winter affected restoration times, high CAIDI."
R020,2020-12-30,SYS-URBAN-20,,,true,12500,900,9999,10,94000,900,75,Major urban blackout during winter storm; extreme metrics for testing system response.
R021,2024-03-09,SYS-SUNNY-21,,,true,53.4,1.01,52.8,1,29450,102,24,"Sunny region system-wide report; moderate reliability metrics, no major events."
R022,2023-08-13,SYS-BAY-22,BAY-019,Bayview Industrial,false,112.4,2.31,48.6,1.4,3200,37,9,Industrial feeder affected by equipment failure; elevated interruption rates in summer.
R023,2022-06-02,SYS-GOLD-23,GOLD-011,Goldcrest Heights,false,89.8,1.17,76.7,,2300,27,4,Goldcrest Heights feeder; maintenance activities reduced sustained interruptions.
R024,2021-03-19,SYS-ELM-24,,,true,39.9,0.94,42.4,,11200,14,3,"Elm region system-wide; annual metrics, low interruption rates, momentary events not reported."
R025,2022-11-10,SYS-OAK-25,OAK-118,Oakwood East,false,123.4,2.05,60.2,3,1450,32,8,"Oakwood East feeder; higher interruption frequency during autumn, moderate CAIDI."
R026,2023-12-30,SYS-GREEN-26,,,true,83.7,1.43,58.7,1.5,38600,142,36,Green region system-wide summary; increased momentary interruptions due to ice storms.
R027,2022-01-25,SYS-CLIFF-27,CLIFF-014,Cliffside Terrace,false,167.3,1.64,102,2.7,1100,24,4,"Cliffside Terrace feeder; rural area, elevated CAIDI due to challenging terrain."
R028,2021-04-14,SYS-FIELD-28,,,true,35.7,0.89,40.1,0.7,18400,16,2,Field region system-wide report; minor outages attributed to equipment upgrades.
R029,2022-10-07,SYS-POINT-29,POINT-006,Point South,false,71.9,1.22,59,,1800,21,5,"Point South feeder; reliable service with low interruption rates, momentary data unavailable."
R030,2023-04-20,SYS-TOWER-30,,,true,61.2,1.19,51.4,1,27500,81,21,"Tower region system-wide report; moderate interruption rates, improved restoration times."
R031,2024-04-02,SYS-STONE-31,STONE-088,Stonebridge East,false,87.2,1.41,61.9,1.7,2800,28,7,Stonebridge East feeder; spring storms increased both sustained and momentary interruptions.
R032,2020-05-19,SYS-FORD-32,,,true,19.4,0.61,31.8,,9500,13,2,"Ford region system-wide report; minimal interruptions, momentary events not tracked."
R033,2021-09-24,SYS-BRIDGE-33,BRIDGE-024,Bridgeview Center,false,58.3,1.12,52.1,0.6,2050,19,6,"Bridgeview Center feeder; performance consistent with annual targets, minor outages only."
R034,2022-02-07,SYS-MAPLE-34,,,true,72.4,1.29,56.1,1.3,19200,98,25,"Maple region annual reliability report; moderate interruptions, increased momentary events."
R035,2023-07-14,SYS-ALDER-35,ALDER-015,Alderwood Plaza,false,112.8,2.14,52.7,2.1,3150,33,7,Alderwood Plaza feeder; summer storms elevated both sustained and momentary interruptions.
R036,2020-07-23,SYS-BLUFF-36,,,true,47.3,0.98,48.3,0.5,15800,22,3,"Bluff region system-wide report; typical summer performance, no major outages."
R037,2021-10-06,SYS-ORCHARD-37,ORCHARD-133,Orchard Lane,false,63.5,1.18,53.8,1.2,2100,17,5,"Orchard Lane feeder report; improved performance, momentary events below target."
R038,2024-03-19,SYS-HEIGHTS-38,,,true,69.1,1.27,54.5,1.4,22950,109,27,"Heights region system-wide metrics; minor interruptions, no major events in Q1 2024."
R039,2022-08-22,SYS-SHORE-39,SHORE-029,Shoreline North,false,97.6,1.48,65.7,1.8,2560,24,7,"Shoreline North feeder; moderate interruptions, increased momentary rates after line upgrades."
R040,2021-05-13,SYS-DALE-40,,,true,33.6,0.85,39.6,0.6,10150,12,1,"Dale region system-wide summary; lowest interruption rates, stable year."
R041,2022-10-19,SYS-HOLLOW-41,HOLLOW-077,Hollow Ridge,false,121.5,2.16,56.3,2.5,2950,35,9,"Hollow Ridge feeder; autumn storms increased interruption frequency, restoration times stable."
R042,2020-01-17,SYS-WEST-42,,,true,58.1,1.13,51.4,0.9,20300,76,18,"West region annual metrics; typical winter performance, moderate interruptions."
R043,2023-05-19,SYS-PARK-43,PARK-145,Parkside South,false,76.8,1.38,55.6,1.5,3250,29,7,Parkside South feeder; spring windstorms increased both sustained and momentary interruptions.
R044,2021-11-09,SYS-SAGE-44,,,true,30.9,0.72,42.9,,13400,11,1,"Sage region system-wide report; annual reliability metrics, momentary interruptions not tracked."
R045,2022-05-25,SYS-CEDAR-45,CEDAR-021,Cedar Hill,false,82.1,1.23,66.6,0.8,1875,20,4,"Cedar Hill feeder; moderate interruptions, restoration times affected by equipment age."
R046,2021-07-29,SYS-PEAK-46,,,true,52.6,1.08,48.7,1.1,16450,21,5,"Peak region system-wide summary; typical summer reliability, no major events."
R047,2023-08-08,SYS-RIDGE-47,RIDGE-101,Ridgeview North,false,94.6,1.42,66.7,1.3,3150,31,7,Ridgeview North feeder; summer storms increased both sustained and momentary interruptions.
R048,2022-12-15,SYS-VALLEY-48,,,true,60.4,1.13,53.5,1.2,20200,74,17,"Valley region system-wide metrics; winter performance, stable interruption rates."
R049,2021-03-30,SYS-QUARRY-49,QUARRY-054,Quarry Heights,false,74.3,1.19,62.4,,1800,20,5,"Quarry Heights feeder; reliability improved after equipment upgrades, momentary data incomplete."
R050,2024-05-07,SYS-TRAIL-50,,,true,66.9,1.22,54.8,1.3,24300,113,25,"Trail region system-wide report; spring storms affected reliability, moderate interruption rates."
R051,2022-02-19,SYS-TUCSON-01,,,true,43.8,1.1,39.3,1,45600,97,31,Annual performance report for Tucson area system-wide. No major storms this year.
R052,2020-06-04,SYS-BOSTON-02,BOSTON-112,Back Bay North,false,58.2,0.8,72.7,1.4,1900,29,6,"Urban feeder, Back Bay North, moderate interruptions due to construction activities."
R053,2021-11-13,SYS-DENVER-03,,,true,54.7,1.7,32.2,0.7,68300,142,44,"Denver system-wide report, above average interruptions following spring wind events."
R054,2023-07-27,SYS-FRESNO-04,FRESNO-312,Golden Valley South,false,77.6,2.1,93.8,1.1,2200,37,7,"Feeder-level report, high CAIDI from extended outage after transformer failure."
R055,2024-01-18,SYS-MOBILE-05,,,true,12.4,0.4,25.7,0.3,15800,21,4,System-wide annual summary for Mobile city. Fewer interruptions after upgrades.
R056,2023-03-22,SYS-DETROIT-06,DETROIT-207,Eastside Residential,false,144.5,1.3,111.2,2,1650,42,8,"Eastside Residential feeder, Detroit, high duration outages from aging cable failures."
R057,2021-05-15,SYS-JACKSON-07,,,true,0,0,,,0,0,,"Boundary test: No customers served, system in startup phase."
R058,2022-09-29,SYS-ORLANDO-08,ORLANDO-067,Lake Eola West,false,34.9,0.7,48.8,1.7,1250,16,3,"Lake Eola West feeder, Orlando, minor interruptions, mostly momentary."
R059,2020-03-10,SYS-OMAHA-09,OMAHA-210,North Market,false,51.2,0.6,84.5,,910,11,0,"North Market feeder, Omaha, no momentary interruptions, low SAIFI."
R060,2024-02-18,SYS-PORTLAND-10,,,true,22.6,0.9,25.1,,17200,27,3,"Portland system-wide, low interruption frequency, some missing MAIFI data."
R061,2022-06-24,SYS-MADISON-11,MADISON-005,West Beltline,false,27.8,0.9,31.2,0.6,1400,14,2,"Feeder West Beltline, Madison, short duration outages due to planned maintenance."
